ts,mag_0,mag_1,mag_2,extmag_0,extmag_1,extmag_2,gyro_0,gyro_1,gyro_2,gyro_temp,extgyro_0,extgyro_1,extgyro_2,fss_raw_0,fss_raw_1,fss_raw_2,fss_raw_3,fss_raw_4,fss_raw_5,fss_raw_6,fss_raw_7,fss_raw_8,fss_raw_9,fss_raw_10,fss_raw_11,fss_raw_12,fss_raw_13,fss_raw_14,fss_raw_15,fss_raw_16,fss_raw_17,fss_raw_18,fss_raw_19,fss_raw_20,fss_raw_21,fss_raw_22,fss_raw_23,st_raw_0,st_raw_1,st_raw_2,st_raw_3,st_valid_0,st_valid_1,st_valid_2,st_valid_3,status_str,ephem_suneci_0,ephem_suneci_1,ephem_suneci_2,ephem_mageci_0,ephem_mageci_1,ephem_mageci_2
1642723620,-281.4641418457031,341.5937805175781,200.94039916992188,-274.137939453125,349.3930969238281,224.83689880371094,-0.02738773822784424,0.009759306907653809,0.13510875403881073,14.432941436767578,0.0,0.0,0.0,543,469,391,510,24,20,9,9,295,139,69,181,5010,3365,3707,5448,429,497,397,372,228,385,225,106,0.0,0.0,0.0,0.0,nan,nan,nan,nan,0,75699544064.0,-115923517440.0,-50252103680.0,-2025.03125,-43915.4765625,-17824.916015625
1642723630,-277.68731689453125,354.7999267578125,191.40310668945312,-268.4829406738281,361.0304870605469,219.9275360107422,-0.012518525123596191,0.036805689334869385,0.121631920337677,14.45941162109375,0.0,0.0,0.0,573,480,402,521,24,21,11,10,279,137,68,181,5017,3314,3648,5454,462,497,385,375,233,410,235,110,0.0,0.0,0.0,0.0,nan,nan,nan,nan,0,75699544064.0,-115923517440.0,-50252103680.0,-2144.932861328125,-43757.109375,-18714.91015625
1642723640,-267.21240234375,363.1492919921875,180.67645263671875,-261.9558410644531,374.06695556640625,214.33145141601562,-0.025499463081359863,0.015917181968688965,0.1218048632144928,14.477058410644531,0.0,0.0,0.0,614,492,412,539,48,38,10,10,266,128,73,180,5025,3261,3583,5459,513,512,378,387,238,439,250,116,0.0,0.0,0.0,0.0,nan,nan,nan,nan,0,75699544064.0,-115923517440.0,-50252103680.0,-2278.8857421875,-43556.58203125,-19698.068359375
1642723650,-262.5247497558594,375.50164794921875,172.75547790527344,-255.2334747314453,384.7904357910156,207.69102478027344,-0.011133790016174316,0.015680372714996338,0.08074018359184265,14.491765022277832,0.0,0.0,0.0,655,498,418,562,47,36,10,9,262,133,72,176,5034,3213,3523,5463,566,538,378,408,241,466,269,119,0.0,0.0,0.0,0.0,nan,nan,nan,nan,0,75699544064.0,-115923517440.0,-50252103680.0,-2413.5234375,-43330.26953125,-20674.849609375
1642723660,-257.0901184082031,396.0075378417969,163.10775756835938,-247.0973358154297,398.312744140625,202.26950073242188,0.0037354230880737305,0.001517951488494873,0.1290765106678009,14.518235206604004,0.0,0.0,0.0,698,495,425,597,47,40,11,12,273,131,72,173,5046,3155,3449,5467,647,589,395,446,242,500,296,127,0.0,0.0,0.0,0.0,nan,nan,nan,nan,0,75700748288.0,-115922853888.0,-50251816960.0,-2548.830078125,-43078.2734375,-21644.55078125
1642723670,-245.80142211914062,403.56146240234375,151.65061950683594,-238.9501190185547,410.2916564941406,196.32962036132812,0.03259265422821045,0.021601438522338867,0.12252545356750488,14.550588607788086,0.0,0.0,0.0,724,489,427,626,51,42,11,10,292,132,75,174,5055,3102,3385,5469,723,649,426,499,239,537,320,126,0.0,0.0,0.0,0.0,nan,nan,nan,nan,0,75700748288.0,-115922853888.0,-50251816960.0,-2684.6962890625,-42800.67578125,-22606.478515625
1642723680,-234.46060180664062,414.32354736328125,141.6802520751953,-230.1002197265625,422.5873718261719,189.5811767578125,-0.028717041015625,0.021412014961242676,0.11577261984348297,14.562353134155273,0.0,0.0,0.0,746,473,424,655,55,48,15,17,314,134,76,177,5064,3045,3311,5466,802,715,469,561,231,569,350,131,0.0,0.0,0.0,0.0,nan,nan,nan,nan,0,75700748288.0,-115922853888.0,-50251816960.0,-2807.474609375,-42529.1328125,-23465.0859375
1642723690,-228.9070587158203,429.0887145996094,134.51559448242188,-219.73020935058594,434.59368896484375,181.7229766845703,0.03309619426727295,0.014543890953063965,0.12264074385166168,14.562353134155273,0.0,0.0,0.0,755,451,414,678,61,50,455,627,337,138,79,184,5075,2985,3231,5464,881,791,527,636,220,588,374,127,0.0,0.0,0.0,0.0,nan,nan,nan,nan,0,75700748288.0,-115922853888.0,-50251816960.0,-2944.3271484375,-42203.39453125,-24410.53125
1642723700,-213.374267578125,437.4191589355469,123.98290252685547,-209.2624969482422,445.6776123046875,174.63059997558594,-0.03357100486755371,0.054995059967041016,0.12997004389762878,14.60941219329834,0.0,0.0,0.0,754,428,401,697,61,54,1850,2437,369,145,81,196,5085,2918,3148,5455,939,851,578,697,208,590,393,127,0.0,0.0,0.0,0.0,nan,nan,nan,nan,0,75701952512.0,-115922198528.0,-50251530240.0,-3081.606689453125,-41852.4765625,-25346.267578125
1642723710,-203.79444885253906,442.56341552734375,111.7371597290039,-197.6868133544922,456.3097839355469,165.29086303710938,0.01513528823852539,0.04789012670516968,0.1575866937637329,14.624117851257324,0.0,0.0,0.0,742,401,384,705,67,56,3341,4287,394,154,86,211,5094,2843,3054,5446,997,924,654,775,194,581,406,120,0.0,0.0,0.0,0.0,nan,nan,nan,nan,0,75701952512.0,-115922198528.0,-50251530240.0,-3219.23779296875,-41476.58984375,-26271.765625
1642723720,-187.54383850097656,458.2552185058594,98.71480560302734,-186.76400756835938,466.0070495605469,155.85470581054688,0.05672168731689453,0.006539344787597656,0.1439369171857834,14.632941246032715,0.0,0.0,0.0,724,372,365,704,471,339,3857,4848,409,156,90,227,5105,2773,2964,5433,1028,974,711,826,179,564,406,116,0.0,0.0,0.0,0.0,nan,nan,nan,nan,0,75701952512.0,-115922198528.0,-50251530240.0,-3343.352783203125,-41117.0703125,-27095.275390625
1642723730,-174.71731567382812,470.7513427734375,84.0762939453125,-173.75106811523438,475.4203186035156,143.99156188964844,0.01639413833618164,0.047416627407073975,0.17161120474338531,14.653529167175293,0.0,0.0,0.0,697,346,343,692,571,426,3972,4910,421,162,99,244,5111,2701,2864,5411,1042,1012,761,867,163,539,405,109,0.0,0.0,0.0,0.0,nan,nan,nan,nan,0,75701952512.0,-115922198528.0,-50251530240.0,-3481.461669921875,-40694.21875,-27999.275390625
1642723740,-168.55746459960938,479.9864501953125,70.82169342041016,-160.43638610839844,483.91259765625,132.23985290527344,0.017275333404541016,0.040217041969299316,0.13747228682041168,14.674118041992188,0.0,0.0,0.0,666,318,323,669,674,521,4084,4961,432,166,107,264,5122,2628,2763,5388,1056,1047,824,913,149,508,399,104,0.0,0.0,0.0,0.0,nan,nan,nan,nan,0,75701952512.0,-115922198528.0,-50251530240.0,-3619.71923828125,-40246.9453125,-28891.01171875
1642723750,-155.82571411132812,483.6307678222656,53.26797103881836,-146.349853515625,492.2574462890625,118.51628112792969,0.024646997451782227,0.040027618408203125,0.1650601029396057,14.685882568359375,0.0,0.0,0.0,630,287,300,645,792,631,4189,4996,447,169,115,290,5134,2551,2660,5360,1058,1072,892,955,136,473,387,98,0.0,0.0,0.0,0.0,nan,nan,nan,nan,0,75703156736.0,-115921534976.0,-50251243520.0,-3758.0556640625,-39775.4765625,-29769.755859375
1642723760,-136.0550537109375,494.361572265625,43.62083053588867,-130.93565368652344,499.3853759765625,103.94889068603516,0.03227031230926514,0.060347914695739746,0.17896932363510132,14.703529357910156,0.0,0.0,0.0,587,262,274,616,912,747,4292,5024,462,176,122,321,5141,2475,2552,5329,1047,1090,955,987,125,441,376,94,0.0,0.0,0.0,0.0,nan,nan,nan,nan,0,75703156736.0,-115921534976.0,-50251243520.0,-3896.378173828125,-39280.0859375,-30634.880859375
